roomID,room_name,location,link
50127,티티카카펜션,충남 태안군 안면읍 승언리 1341-2,https://www.goodchoice.kr/product/detail?ano=50127
50128,해운대 위드 게스트하우스,부산광역시 해운대구 중동 1398-7  마린타워 5층,https://www.goodchoice.kr/product/detail?ano=50128
50129,강릉 루루펜션,강원 강릉시 사천면 사천진리 89-44,https://www.goodchoice.kr/product/detail?ano=50129
50131,청풍월드니스글램핑,충북 제천시 청풍면 교리 산 15-21,https://www.goodchoice.kr/product/detail?ano=50131
50135,가야랜드 달빛야영장,경남 김해시 삼방동 826,https://www.goodchoice.kr/product/detail?ano=50135
50136,석남 요기,인천 서구 석남동 506,https://www.goodchoice.kr/product/detail?ano=50136
50138,포항 블랙,경북 포항시 남구 해도동 110-19,https://www.goodchoice.kr/product/detail?ano=50138
50139,김해 NO.25-어방,경남 김해시 어방동 1097-6,https://www.goodchoice.kr/product/detail?ano=50139
50141,단양 소백산가는길 펜션,충북 단양군 단양읍 천동리 370-7,https://www.goodchoice.kr/product/detail?ano=50141
50143,망상 골든스타비치펜션,강원 동해시 망상동 363-1,https://www.goodchoice.kr/product/detail?ano=50143
50145,에퀴녹스드협재,제주특별자치도 제주시 한림읍 협재리 899,https://www.goodchoice.kr/product/detail?ano=50145
50146,군산 두바이 드라이빙무인텔,전북 군산시 경장동 500-7,https://www.goodchoice.kr/product/detail?ano=50146
50147,마린블루펜션,충북 청주시 상당구 미원면 종암리 511-1,https://www.goodchoice.kr/product/detail?ano=50147
50149,가랑펜션,경기 가평군 상면 임초리 572,https://www.goodchoice.kr/product/detail?ano=50149
50152,김포 호텔 바스,경기 김포시 대곶면 약암리 1319,https://www.goodchoice.kr/product/detail?ano=50152
50153,HOTEL 여기어때 - 서대구,대구 서구 비산동 451-13,https://www.goodchoice.kr/product/detail?ano=50153
50158,강촌테마펜션,강원 춘천시 남산면 강촌리 310,https://www.goodchoice.kr/product/detail?ano=50158
50160,추억더하기,경남 남해군 삼동면 물건리 1234,https://www.goodchoice.kr/product/detail?ano=50160
50161,신탄진 아우디,대전 대덕구 신탄진동 139-20,https://www.goodchoice.kr/product/detail?ano=50161
50162,평창 에코피아펜션,강원 평창군 평창읍 대상리 64-4,https://www.goodchoice.kr/product/detail?ano=50162
50164,초록독채펜션,제주특별자치도 제주시 한림읍 옹포리 549-1,https://www.goodchoice.kr/product/detail?ano=50164
50165,오션비치 리조트,경북 영덕군 남정면 남호리 산 15-1,https://www.goodchoice.kr/product/detail?ano=50165
50166,뜨리바다펜션,제주특별자치도 서귀포시 남원읍 남원리 2397,https://www.goodchoice.kr/product/detail?ano=50166
50167,삼척 베네치아펜션,강원 삼척시 오분동 1-10,https://www.goodchoice.kr/product/detail?ano=50167
50169,가평 블루엘 스파펜션,경기 가평군 설악면 송산리 179-3,https://www.goodchoice.kr/product/detail?ano=50169
50170,아침풍경펜션,경기 가평군 상면 임초리 370-2,https://www.goodchoice.kr/product/detail?ano=50170
50171,호수위에하얀집,경기 가평군 청평면 상천리 1507-1,https://www.goodchoice.kr/product/detail?ano=50171
50172,경주 메종 미니호텔,경상북도 경주시 노서동 133-21 　,https://www.goodchoice.kr/product/detail?ano=50172
50175,119 14 프라이빗 스파&빌라,강원 홍천군 서면 팔봉리 119-14,https://www.goodchoice.kr/product/detail?ano=50175
50180,홍천 알투스펜션,강원 홍천군 서면 팔봉리 768,https://www.goodchoice.kr/product/detail?ano=50180
50183,더준펜션,제주특별자치도 제주시 회천동 1784-5,https://www.goodchoice.kr/product/detail?ano=50183
50184,제주 메이저호텔1,제주도 제주시 연동 278-8,https://www.goodchoice.kr/product/detail?ano=50184
50186,아이캔펜션,경기 남양주시 수동면 송천리 2-11,https://www.goodchoice.kr/product/detail?ano=50186
50187,작전 써클호텔,인천 계양구 작전동 906-4,https://www.goodchoice.kr/product/detail?ano=50187
50188,경포대 아테네,강원 강릉시 안현동 865-3,https://www.goodchoice.kr/product/detail?ano=50188
50189,강릉 피크닉,강원 강릉시 홍제동 998-6,https://www.goodchoice.kr/product/detail?ano=50189
50190,강릉 K모텔,강원 강릉시 옥천동 274-1,https://www.goodchoice.kr/product/detail?ano=50190
50191,강릉 썸 무인텔,강원 강릉시 옥계면 현내리 240-1,https://www.goodchoice.kr/product/detail?ano=50191
50192,햇빛여행,경기 가평군 가평읍 승안리 646-18,https://www.goodchoice.kr/product/detail?ano=50192
50196,수원시청역 블럭24,경기 수원시 권선구 권선동 1013-24,https://www.goodchoice.kr/product/detail?ano=50196
50200,푸름펜션,강원 홍천군 서면 팔봉리 961-4,https://www.goodchoice.kr/product/detail?ano=50200
50202,을왕리썸펜션,인천 중구 을왕동 742-13,https://www.goodchoice.kr/product/detail?ano=50202
50204,원주 제우스,강원 원주시 단구동 724-98,https://www.goodchoice.kr/product/detail?ano=50204
50206,춘천 리오펜션,강원 춘천시 송암동 185,https://www.goodchoice.kr/product/detail?ano=50206
50207,여수 K-boutique 호텔,전남 여수시 화장동 798-8,https://www.goodchoice.kr/product/detail?ano=50207
50209,대구 2월호텔-동성로점,대구 중구 동일동 27,https://www.goodchoice.kr/product/detail?ano=50209
50211,제천 퀸,충북 제천시 중앙로2가 80-8,https://www.goodchoice.kr/product/detail?ano=50211
50212,씨아일랜드,경북 영덕군 강구면 삼사리 629-2,https://www.goodchoice.kr/product/detail?ano=50212
50213,해든펜션,제주특별자치도 서귀포시 성산읍 성산리 145-1,https://www.goodchoice.kr/product/detail?ano=50213
50214,신갈 큐,경기 용인시 기흥구 신갈동 50-16,https://www.goodchoice.kr/product/detail?ano=50214
50216,양구 개구리펜션,강원 양구군 동면 팔랑리 375,https://www.goodchoice.kr/product/detail?ano=50216
50217,순천 HOTEL The B,전남 순천시 풍덕동 1266-3,https://www.goodchoice.kr/product/detail?ano=50217
50218,일루아펜션,경남 통영시 용남면 장평리 672-3,https://www.goodchoice.kr/product/detail?ano=50218
50219,파라다이스거제(해안),경남 거제시 장목면 외포리 715,https://www.goodchoice.kr/product/detail?ano=50219
50220,파라다이스거제(바다),경남 거제시 장목면 외포리 715,https://www.goodchoice.kr/product/detail?ano=50220
50221,광안리 더 엠,부산 수영구 민락동 181-150,https://www.goodchoice.kr/product/detail?ano=50221
50222,송정 브라운도트,부산 해운대구 송정동 422-13,https://www.goodchoice.kr/product/detail?ano=50222
50233,음성 스카이,충북 음성군 음성읍 한벌리 690-2,https://www.goodchoice.kr/product/detail?ano=50233
50237,부산 클럽호텔,부산 해운대구 우동 644-4,https://www.goodchoice.kr/product/detail?ano=50237
50239,제주 더스테이센추리호텔,제주특별자치도 제주시 애월읍 하귀1리 544-2,https://www.goodchoice.kr/product/detail?ano=50239
50240,진주 성중,경남 진주시 칠암동 513-7,https://www.goodchoice.kr/product/detail?ano=50240
50242,용원 젠 호텔,경남 창원시 진해구 용원동 1216-5,https://www.goodchoice.kr/product/detail?ano=50242
50243,쁠라야,경남 남해군 상주면 상주리 1276-3,https://www.goodchoice.kr/product/detail?ano=50243
50245,광명 램파트,경기 광명시 하안동 301-1,https://www.goodchoice.kr/product/detail?ano=50245
50247,제주웨스트펜션,제주특별자치도 제주시 한경면 용수리 3653-4,https://www.goodchoice.kr/product/detail?ano=50247
50248,숲속의공주펜션,경기 가평군 가평읍 복장리 250-1,https://www.goodchoice.kr/product/detail?ano=50248
50249,일광 라고마르펜션,부산 기장군 일광면 학리 269-1,https://www.goodchoice.kr/product/detail?ano=50249
